gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84,45,4.4,459,EA Sports,E,Europe,2.12
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84,45,4.4,459,EA Sports,E,Japan,0
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84,45,4.4,459,EA Sports,E,Other Region,0.24
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83,37,5.9,180,EA Sports,E,North America,2.34
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83,37,5.9,180,EA Sports,E,Europe,0.3
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83,37,5.9,180,EA Sports,E,Japan,0
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83,37,5.9,180,EA Sports,E,Other Region,0.6
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81,81,7.7,758,Polyphony Digital,E,North America,0.72
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81,81,7.7,758,Polyphony Digital,E,Europe,1.67
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81,81,7.7,758,Polyphony Digital,E,Japan,0.4
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81,81,7.7,758,Polyphony Digital,E,Other Region,0.44
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3.23,85,69,7.2,1267,343 Industries,M,North America,1.91
